sequence,model_id,name,claude_status,grok_status,synthesis_status,validation_status,bundles,layers,findings,questions,artifacts,functions
192,WM-ORG-015,Supplier / Partner Relationship,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
193,WM-ORG-018,Governance Body / Committee,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
194,WM-ORG-019,Organization Policy,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
195,WM-PER-011,Interpersonal Relationship,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
196,WM-PER-013,Professional License / Credential,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
197,WM-POL-016,Public Authority / Institution,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
198,WM-POL-017,Administrative Procedure / Case,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
199,WM-POL-018,Public Service / Government Service,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
200,WM-POL-019,Legal Filing / Pleading,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
201,WM-POL-020,Evidence Item / Exhibit,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
202,WM-POL-021,Judgment / Legal Decision,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
203,WM-POL-026,Customs Declaration / Clearance,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
204,WM-POL-027,Property Right / Tenure,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
205,WM-POL-029,Migration / Residency Status,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
206,WM-REC-008,Certificate / Credential Record,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
207,WM-REC-011,Evidence / Supporting Record,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
208,WM-REC-012,Minutes / Transcript,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
209,WM-REC-013,Operational Log / Trace,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
210,WM-REC-014,Configuration Record,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
211,WM-SFT-010,Runtime / Compute Environment,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
212,WM-SFT-011,Software Configuration,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
213,WM-SFT-013,Software Change / Pull Request,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
214,WM-SFT-016,Service Level / SLO,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
215,WM-SFT-017,Telemetry / Operational Signal,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
216,WM-SFT-018,Network / Endpoint,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
217,WM-XCT-030,Notification / Subscription,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
218,WM-XCT-035,Retention / Disposition,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
219,WM-XCT-038,Policy Evaluation,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
